#
#"X / cm"	"e_X (X)"
#------------------
0.00000000000000	975754.87500000
0.80203316098101	975466.87500000
1.6040663219620	974208.56250000
2.4060994829430	970770.62500000
3.2081326439240	966908.31250000
4.0101658049050	962621.56250000
4.8121989658861	957910.50000000
5.6142321268671	952121.62500000
6.4162652878481	944703.37500000
7.2182984488291	936995.12500000
8.0203316098101	928849.50000000
8.8223647707911	919284.06250000
9.6243979317721	909353.68750000
10.426431092753	899058.37500000
11.228464253734	888398.00000000
12.030497414715	877372.68750000
12.832530575696	865982.50000000
13.634563736677	853988.87500000
14.436596897658	840894.81250000
15.238630058639	827662.68750000
16.040663219620	814129.81250000
16.842696380601	799722.06250000
17.644729541582	780624.37500000
18.446762702563	761237.68750000
19.248795863544	741607.43750000
20.050829024525	721827.68750000
20.852862185506	701927.18750000
21.654895346487	681906.31250000
22.456928507468	662027.43750000
23.258961668449	642234.00000000
24.060994829430	622337.06250000
24.863027990411	602369.25000000
25.665061151392	582340.93750000
26.467094312373	562177.06250000
27.269127473354	540343.87500000
28.071160634335	517870.12500000
28.873193795316	495537.50000000
29.675226956297	473284.71875000
30.477260117278	451241.25000000
31.279293278259	429425.21875000
32.081326439240	408000.65625000
32.883359600221	387883.62500000
33.685392761202	368714.31250000
34.487425922183	349484.09375000
35.289459083164	330536.00000000
36.091492244145	311869.75000000
36.893525405126	293270.53125000
37.695558566107	274527.46875000
38.497591727088	256346.60937500
39.299624888069	238232.76562500
40.101658049050	220607.10937500
40.903691210031	207181.35937500
41.705724371012	195657.56250000
42.507757531993	184869.23437500
43.309790692974	174353.62500000
44.111823853956	164110.65625000
44.913857014937	154140.39062500
45.715890175918	144442.75000000
46.517923336899	135017.76562500
47.319956497880	125865.34375000
48.121989658861	116985.66406250
48.924022819842	108378.63281250
49.726055980823	100044.25781250
50.528089141804	91706.085937500
51.330122302785	83996.476562500
52.132155463766	76353.539062500
52.934188624747	69741.304687500
53.736221785728	64462.550781250
54.538254946709	60254.777343750
55.340288107690	56222.656250000
56.142321268671	52366.218750000
56.944354429652	48727.875000000
57.746387590633	45242.945312500
58.548420751614	41888.808593750
59.350453912595	38665.480468750
60.152487073576	35572.937500000
60.954520234557	32611.222656250
61.756553395538	29780.316406250
62.558586556519	27080.197265625
63.360619717500	24510.136718750
64.162652878481	22096.310546875
64.964686039462	19856.050781250
65.766719200443	18762.853515625
66.568752361424	17790.470703125
67.370785522405	16692.277343750
68.172818683386	15573.408203125
68.974851844367	14479.863281250
69.776885005348	13400.348632813
70.578918166329	12357.887695313
71.380951327310	11352.490234375
72.182984488291	10384.149414063
72.985017649272	9452.8662109375
73.787050810253	8557.7343750000
74.589083971234	7674.3071289063
75.391117132215	6830.9687500000
76.193150293196	6027.7333984375
76.995183454177	5264.5966796875
77.797216615158	4716.6689453125
78.599249776139	4447.6777343750
79.401282937120	4038.3969726563
80.203316098101	3582.5261230469
81.005349259082	3136.2788085938
81.807382420063	2699.6574707031
82.609415581044	2272.6628417969
83.411448742025	1855.2913818359
84.213481903006	1444.9133300781
85.015515063987	1033.3487548828
85.817548224968	630.55358886719
86.619581385949	236.52288818359
87.421614546930	-148.74304199219
